Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments,Notes,Shape ID
1,Document,,,,,,,,,,Cold Call Decision tree CAN EDIT,,,1c1f426a-48c9-4804-ac87-2d79877e65e1
3,Sticky note,Sticky Notes,2,,,,,,,,This is (name). I work for (lead off) He owns the (lead off) nearby your building on (street name) here in (city). ,,,3x7McwyQ71UX
4,Sticky note,Sticky Notes,2,,,,,,,,Hey (name) can you hear me?,,,3x7MyQnHD3JM
5,Sticky note,Sticky Notes,2,,,,,,,,This is (name). I'm working near your building on (street) here in (city). Do you still own that building?,,,3x7MGc4ct~FT
6,Rectangle,Lucidspark Shapes,2,,,,,,,,"ok great I'm glad that missed you guys. Just so nobody else calls you again, did you guys already have someone inspect and document  the building after this storm?",,,KymolYwa4xWL
7,Rectangle,Lucidspark Shapes,2,,,,,,,,What's a good email for you?                               ,,,~FsnHrQ.lX0K
8,Rectangle,Lucidspark Shapes,2,,,,,,,,Did they get you a photo report and certificate of clearnance?,,,oKmonMFBgU5A
9,Rectangle,Lucidspark Shapes,2,,,,,,,,"Aw man, Can I ask why?",,,upewPkZ8KDi-
10,Rectangle,Lucidspark Shapes,2,,,,,,,,Do you have someone helping you through that process?,,,Npewry11jxVV
13,Rectangle,Lucidspark Shapes,2,,,,,,,,"Hey that's great to hear, I'm sure you have a maintence guy who works for ya or is it a roofer?",,,.p8w0i3HuxrS
14,Rectangle,Lucidspark Shapes,2,,,,,,,,"Pretty much all my clients have a maintence guy and they're great, but they're not looking for the same kind of stuff we are. We'll be able to tell you if you have legitimate storm damage, if it affected the lifespan of your roof, and if it's worth looking into filing a claim. ",,,zyXxn8Yi-sF-
15,Rectangle,Lucidspark Shapes,2,,,,,,,,I'm sure you're familiar with the insurance process and have done a roof claim before?,,,OxVwCHz9c.TF
16,Rectangle,Lucidspark Shapes,2,,,,,,,,"It's very important to have a third party working on your behalf so you have the best chance of getting all the damage fully covered through your insurance provider. 
We handle hundreds of claims a year and handle the whole process from start to finish. When would be a good time for us to talk more about if theres anything we could do to help you through the process?",,,YAVwZ51i94EI
17,Rectangle,Lucidspark Shapes,2,,,,,,,,*read back their email and make sure you spelled it right*,,,cexwXHIDz1YW
18,Sticky note,Sticky Notes,2,,,,,,,,Pro/ warm client,,,UvmoOz6Jzg0~
19,Sticky note,Sticky Notes,2,,,,,,,,While this is important inforamtion and will make the inspection run smoother. Their answers don't matter. We are getting on the roof no matter what they say at this point.,,,0lxwLOmOevIf
20,Sticky note,Sticky Notes,2,,,,,,,,Normal/ short cold client,,,9vmo-~FGEIIK
21,Rectangle,Lucidspark Shapes,2,,,,,,,,"I'll send over that email shortly. It was great to meet you, have a great rest of your day. ",,,wrxwmNedad58
22,Sticky note,Sticky Notes,2,,,,,,,,LEAD SET!,,,AsxwPhWd7le~
23,Sticky note,Sticky Notes,2,,,,,,,,Send them the intro email with our insurance  ,,,2sxwVEV7jR2m
24,Sticky note,Sticky Notes,2,,,,,,,,Upload to CRM,,,.sxwgAiqGiKv
25,Sticky note,Sticky Notes,2,,,,,,,,Brag in chat that you set a lead,,,ptxwucf7-Ffv
26,Rectangle,Lucidspark Shapes,2,,,,,,,,Who do you go through for insurance? ,,,klVw1P.YEK7k
27,Rectangle,Lucidspark Shapes,2,,,,,,,,Your insurance provider can't raise your premiums when filing for storm damage since it's an act of god*  They raise premiums based on claims filed in a zip code and since this storm was bad and many claims have been filed. Premiums are going to raise regardless. You might as well also benefit from a brand new roof instead of just paying for everyone else's,,,.PVwx5rJMBiN
28,Rectangle,Lucidspark Shapes,2,,,,,,,,You may not even need to. If you don't have any damage It will at least save the them some time. I'm happy stop by this week and let you know if you have anything to worry about or a reason to have them come out.,,,GqmoI2F0Wv2E
29,Rectangle,Lucidspark Shapes,2,,,,,,,,"or you proceed and get a brand new roof. Which increases your asset value. And worst case your carrier drops you which does happen, but it's rare. Although you'll have a much better roof which makes the building extremely attractive to new carriers.     ",,,rx3x5WWuqeQe
30,Rectangle,Lucidspark Shapes,2,,,,,,,,1,,,8e.FhgrYyDPi
32,Rectangle,Lucidspark Shapes,2,,,,,,,,"I wouldn't expect you to, the damage we're seeing isn't stuff that's causing immediate leaks, but it will cause problems in the future. I can let you know if you're in the same boat and....                          ",,,tksG1A8XkElX
33,Rectangle,Lucidspark Shapes,2,,,,,,,,"Sorry to hear that. unfortunately
 this isn't uncommon. Would you be opposed to us stopping by and inspecting the property when we're nearby later this week? I'll let you know if they should've covered the damages. Getting denials overturned is very common and something our company is known for.",,,eR2MovSAOPg1
34,Rectangle,Lucidspark Shapes,2,,,,,,,,Gotcha. We'll I'd love to throw my name in the ring and show you how we're different.,,,ru3Mo971W9v5
35,Rectangle,Lucidspark Shapes,2,,,,,,,,COLLECT,,,gl.FaiUgjCh7
36,Rectangle,Lucidspark Shapes,2,,,,,,,,6,,,Zl.FuI8QTaYC
37,Text,Standard,2,,,,,,,,"Asking for their policy and setting expectations increases close % significantly
Doing this qualifies your leads, which saves you wasted time on unqualified leads and makes you more $$$ ",,,pm.F-zFIGFLy
64,Rectangle,Lucidspark Shapes,2,,,,,,,,Perfect. Well I'd love to earn your buisness and show you how we're different. If you still want to use your old guy after no worries.,,,Ju3ML8OKorbC
65,Rectangle,Lucidspark Shapes,2,,,,,,,,Do you work on-site at that building?,,,ah4MnKm-oCxy
68,Rectangle,Lucidspark Shapes,2,,,,,,,,"I'm gonna go ahead and send you an email, and I'd love to stop by shake your hand and show you what we can do to help ya later this week or next week.",,,4k4MABRFcOPv
69,Rectangle,Lucidspark Shapes,2,,,,,,,,"No problem, I'll go ahead and send over my company info. Is there anyone we should check-in with when we get up there?",,,6.4MqnaC~HN7
70,Rectangle,Lucidspark Shapes,2,,,,,,,,I'll go ahead and put the report together and call you when we're finished up. ,,,zd5MKbtPZ6Wj
71,Sticky note,Sticky Notes,2,,,,,,,,Are you going to be up at the building later this or next week? ,,,gg5MIUk_gftB
72,Rectangle,Lucidspark Shapes,2,,,,,,,,"Alright well I'm gonna go ahead and send you an email with our company info, and I'm happy to stop by and take a look for you when were near your building. We can catch up sometime next week and go over everything.",,,gN4MVp.PImzQ
73,Rectangle,Lucidspark Shapes,2,,,,,,,,Qualify,,,8C5MhMfx2bH5
74,Rectangle,Lucidspark Shapes,2,,,,,,,,Close,,,fF5M_aSM.aAV
75,Rectangle,Lucidspark Shapes,2,,,,,,,,Qualify,,,RF5MX4FLVQSy
76,Sticky note,Sticky Notes,2,,,,,,,,"Thats no problem, There's a few government programs and grants that let you put a new roof on at no cost, even if you dont have insurance. Are you dealing with any issues or leaks currently?",,,BreN4QaS8YJZ
77,Sticky note,Sticky Notes,2,,,,,,,," I'd love to set up a meeting to go over the options avalable for you, but I'm gonna have a manager reach out because I'm not super well versed in it. do you have time in your schedule this week or is next week better? ",,,kueNcAcbkNFB
78,Sticky note,Sticky Notes,2,,,,,,,,"the bggest reason we'd get look into this now is #1 to let you know if the damage sustained will cause you any leaks or problems in the future, and #2 to help stop them from happening before they start. ",,,iweNxUrbiIaS
79,Rectangle,Lucidspark Shapes,2,,,,,,,,"Awesome, I'll go ahead and email you over our company info. What day is best for you next week? ",,,D.4MO2LJHZD7
80,Rectangle,Lucidspark Shapes,2,,,,,,,,I'll have my partner stop by. We don't need to take up any of your time but we would love to stop by and shake your hand drop off some info and take a look for you.,,,_e5M7LI.xRxF
81,Rectangle,Lucidspark Shapes,2,,,,,,,,"*explain their concerns and disarm them*

but none of that matters until we know if there's damage or not so...",,,K2ww2m7EMXA1
82,Rectangle,Lucidspark Shapes,2,,,,,,,,Perfect. Okay so next we talk what is it you need to think about so I can have the information ready next time we talk,,,mUwwTQfjL.yM
83,Rectangle,Lucidspark Shapes,2,,,,,,,,"We do a lot of work with them, if you could do me a favor and send me over a copy your policy I'll be able to tell you if you're covered for the kind of damage we find. ",,,Sk5M~49xs_mm
84,Rectangle,Lucidspark Shapes,2,,,,,,,,"I get it, you already filed the claim i'm sure it was a pain, took a bunch of time and didnt get anywhere. I'm not looking to add anything to your plate, how about this, I'll stop by and take a look, if i think they messed up I'll let you know I can win the claim and we can have a 20 minute meeting on how. If not I won't bother you again.",,,pLeN6KFwQ2V3
